    == Status ==
Current time: 2022-11-19 21:24:59 (running for 03:24:08.25)
Memory usage on this node: 9.3/15.4 GiB 
Using AsyncHyperBand: num_stopped=323
Bracket: Iter 32.000: -0.9614356261372566 | Iter 16.000: -1.0854247627735139 | Iter 8.000: -1.2630366757392884 | Iter 4.000: -1.4273403955459594 | Iter 2.000: -1.5695729044914244 | Iter 1.000: -1.739674667930603
Resources requested: 0/20 CPUs, 0/1 GPUs, 0.0/7.33 GiB heap, 0.0/3.66 GiB objects (0.0/1.0 accelerator_type:G)
Result logdir: /home/braian/ray_results/train_cifar_2022-11-19_18-00-51
Number of trials: 324/324 (1 ERROR, 323 TERMINATED)
+-------------------------+------------+-----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------+
| Trial name              | status     | loc                   |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |     loss |   accuracy |   training_iteration |
| train_cifar_40296_00054 | TERMINATED | 192.168.0.187:346464  |           16 |          0.0001 |                    6 |                      2 |                   16 |                      2 |       120 |       124 | 1.81761  |     0.3318 |                    1 |
| train_cifar_40296_00055 | TERMINATED | 192.168.0.187:351061  |           16 |          0.0001 |                   12 |                      2 |                   16 |                      2 |       120 |       124 | 1.81408  |     0.3414 |                    1 |
| train_cifar_40296_00056 | TERMINATED | 192.168.0.187:353866  |           16 |          0.0001 |                   18 |                      2 |                   16 |                      2 |       120 |       124 | 1.50388  |     0.4618 |                    4 |
| train_cifar_40296_00057 | TERMINATED | 192.168.0.187:358602  |           16 |          0.0001 |                    6 |                      2 |                   22 |                      2 |       120 |       124 | 1.79255  |     0.3469 |                    1 |
| train_cifar_40296_00058 | TERMINATED | 192.168.0.187:363514  |           16 |          0.0001 |                   12 |                      2 |                   22 |                      2 |       120 |       124 | 1.1581   |     0.5963 |                   16 |
| train_cifar_40296_00059 | TERMINATED | 192.168.0.187:372507  |           16 |          0.0001 |                   18 |                      2 |                   22 |                      2 |       120 |       124 | 1.7769   |     0.3516 |                    1 |
| train_cifar_40296_00060 | TERMINATED | 192.168.0.187:375393  |           16 |          0.0001 |                    6 |                      2 |                   28 |                      2 |       120 |       124 | 1.75655  |     0.3628 |                    1 |
| train_cifar_40296_00061 | TERMINATED | 192.168.0.187:375610  |           16 |          0.0001 |                   12 |                      2 |                   28 |                      2 |       120 |       124 | 1.60579  |     0.4188 |                    2 |
| train_cifar_40296_00062 | TERMINATED | 192.168.0.187:376543  |           16 |          0.0001 |                   18 |                      2 |                   28 |                      2 |       120 |       124 | 1.03121  |     0.6614 |                   50 |
| train_cifar_40296_00063 | TERMINATED | 192.168.0.187:380383  |           16 |          0.0001 |                    6 |                      2 |                   16 |                      2 |       140 |       124 | 1.86542  |     0.3232 |                    1 |
| train_cifar_40296_00064 | TERMINATED | 192.168.0.187:382862  |           16 |          0.0001 |                   12 |                      2 |                   16 |                      2 |       140 |       124 | 1.46911  |     0.4609 |                    4 |
| train_cifar_40296_00065 | TERMINATED | 192.168.0.187:388571  |           16 |          0.0001 |                   18 |                      2 |                   16 |                      2 |       140 |       124 | 1.31585  |     0.5319 |                    8 |
| train_cifar_40296_00066 | TERMINATED | 192.168.0.187:396472  |           16 |          0.0001 |                    6 |                      2 |                   22 |                      2 |       140 |       124 | 1.75265  |     0.3513 |                    1 |
| train_cifar_40296_00067 | TERMINATED | 192.168.0.187:398953  |           16 |          0.0001 |                   12 |                      2 |                   22 |                      2 |       140 |       124 | 1.45793  |     0.4665 |                    4 |
| train_cifar_40296_00068 | TERMINATED | 192.168.0.187:404064  |           16 |          0.0001 |                   18 |                      2 |                   22 |                      2 |       140 |       124 | 1.58348  |     0.4171 |                    2 |
| train_cifar_40296_00069 | TERMINATED | 192.168.0.187:404686  |           16 |          0.0001 |                    6 |                      2 |                   28 |                      2 |       140 |       124 | 1.79757  |     0.3405 |                    1 |
